nic,antenna,ssid,distance,rssi,link_quality,channel,link_quality_in_percentage
ampak-ap6212,1,senic-sandbox,0,-44,65,3,93
ampak-ap6212,1,senic-sandbox,1,-39,69,3,99
ampak-ap6212,1,senic-sandbox,2,-40,69,3,99
ampak-ap6212,1,senic-sandbox,3,-50,60,3,85
ampak-ap6212,1,senic-sandbox,4,-55,55,3,78
ampak-ap6212,1,senic-sandbox,5,-52,58,3,82
ampak-ap6212,1,senic-sandbox,6,-58,52,3,74
ampak-ap6212,1,senic-sandbox,7,-49,61,3,88
ampak-ap6212,1,senic-sandbox,8,-47,63,3,89
ampak-ap6212,1,senic-sandbox,9,-52,58,3,82
ampak-ap6212,1,senic-sandbox,10,-58,52,3,73
ampak-ap6212,1,senic-sandbox,11,-62,48,3,69
ampak-ap6212,1,senic-sandbox,12,-63,47,3,67
ampak-ap6212,2,senic-sandbox,11,-65,45,3,64
ampak-ap6212,2,senic-sandbox,12,-60,50,3,71
ampak-ap6212,2,senic-sandbox,10,-48,62,3,89
ampak-ap6212,2,senic-sandbox,9,-47,63,3,89
ampak-ap6212,2,senic-sandbox,8,-47,63,3,90
ampak-ap6212,2,senic-sandbox,7,-56,54,3,78
ampak-ap6212,2,senic-sandbox,6,-47,63,3,90
ampak-ap6212,2,senic-sandbox,5,-42,68,3,97
ampak-ap6212,2,senic-sandbox,4,-51,59,3,84
ampak-ap6212,2,senic-sandbox,3,-46,64,3,92
ampak-ap6212,2,senic-sandbox,2,-36,70,3,100
ampak-ap6212,2,senic-sandbox,1,-39,69,3,99
ampak-ap6212,2,senic-sandbox,0,-34,70,3,100
