nic,antenna,ssid,distance,timestamp,ping_packet_size,ping_loss,ping_min,ping_avg,ping_max
mt7610,0,senic-sandbox,0,1493905171,64,0,3.333,12.214,24.820ms
mt7610,0,senic-sandbox,0,1493905190,1024,0,4.420,8.221,15.990ms
mt7610,0,senic-sandbox,1,1493905394,64,0,3.381,10.007,33.701
mt7610,0,senic-sandbox,1,1493905413,1024,0,3.802,11.521,29.059
mt7610,0,senic-sandbox,2,1493905656,64,0,3.032,8.756,29.451
mt7610,0,senic-sandbox,2,1493905675,1024,0,4.004,9.745,23.763
mt7610,0,senic-sandbox,3,1493905802,64,0,3.682,10.336,26.620
mt7610,0,senic-sandbox,3,1493905821,1024,0,3.998,18.907,71.191
mt7610,0,senic-sandbox,4,1493906099,64,0,3.463,9.541,23.922
mt7610,0,senic-sandbox,4,1493906118,1024,0,4.068,12.073,23.715
mt7610,0,senic-sandbox,5,1493906317,64,10,9.228,45.097,297.216
mt7610,0,senic-sandbox,5,1493906362,1024,20,5.016,53.019,373.066
mt7610,0,senic-sandbox,6,1493906898,64,,,,
mt7610,0,senic-sandbox,6,1493906938,1024,95,52.810,52.810,52.810
mt7610,0,senic-sandbox,7,1493907064,64,95,41.356,41.356,41.356
mt7610,0,senic-sandbox,7,1493907084,1024,,,,
mt7610,0,senic-sandbox,8,1493907359,64,0,4.977,16.629,37.680
mt7610,0,senic-sandbox,8,1493907378,1024,0,4.914,14.491,40.708
mt7610,0,senic-sandbox,9,1493907613,64,,,,
mt7610,0,senic-sandbox,9,1493907653,1024,10,8.707,50.026,310.681
mt7610,0,senic-sandbox,10,1493908004,64,5,4.562,27.726,310.793
mt7610,0,senic-sandbox,10,1493908024,1024,10,7.722,47.708,315.512
mt7610,0,senic-sandbox,11,1493908265,64,10,4.334,37.832,304.738
mt7610,0,senic-sandbox,11,1493908285,1024,5,8.978,33.915,311.822
mt7610,0,senic-sandbox,12,1493908442,64,5,4.041,13.262,50.563
mt7610,0,senic-sandbox,12,1493908462,1024,40,16.772,44.431,122.380
